"domain","site","grid","lat","lon","elev","nlcd"
"D05_Great Lakes","UNDE","UNDE_012",46.237255,-89.502396,522.2,"woodyWetlands"
"D05_Great Lakes","UNDE","UNDE_020",46.206881,-89.483602,504,"woodyWetlands"
"D05_Great Lakes","UNDE","UNDE_027",46.211194,-89.491388,517.2,"deciduousForest"
"D05_Great Lakes","UNDE","UNDE_032",46.244036,-89.536945,510.5,"mixedForest"
"D06_Prairie Peninsula","KONA","KONA_001",39.217225,-96.59487,330.1,"cultivatedCrops"
"D06_Prairie Peninsula","KONA","KONA_003",39.216637,-96.59927,334.7,"cultivatedCrops"
"D06_Prairie Peninsula","KONA","KONA_004",39.123455,-96.639195,328.1,"cultivatedCrops"
"D06_Prairie Peninsula","KONA","KONA_006",39.125706,-96.64844,354.9,"cultivatedCrops"
"D06_Prairie Peninsula","KONA","KONA_013",39.125776,-96.640728,328.6,"cultivatedCrops"
"D06_Prairie Peninsula","KONA","KONA_016",39.121218,-96.639897,329.7,"cultivatedCrops"
"D06_Prairie Peninsula","KONZ","KONZ_001",39.075279,-96.554581,424.7,"grasslandHerbaceous"
"D06_Prairie Peninsula","KONZ","KONZ_002",39.118998,-96.544775,400.5,"grasslandHerbaceous"
"D06_Prairie Peninsula","KONZ","KONZ_003",39.087708,-96.572297,399.7,"grasslandHerbaceous"
"D06_Prairie Peninsula","KONZ","KONZ_005",39.082519,-96.568466,429.8,"grasslandHerbaceous"
"D06_Prairie Peninsula","KONZ","KONZ_006",39.070111,-96.588843,413.8,"grasslandHerbaceous"
"D06_Prairie Peninsula","KONZ","KONZ_008",39.10938,-96.54573,399.1,"grasslandHerbaceous"
"D06_Prairie Peninsula","KONZ","KONZ_027",39.102006,-96.584621,347.3,"deciduousForest"
"D06_Prairie Peninsula","KONZ","KONZ_029",39.09804,-96.602488,346.8,"deciduousForest"
"D06_Prairie Peninsula","UKFS","UKFS_003",39.052134,-95.189278,322.8,"deciduousForest"
"D06_Prairie Peninsula","UKFS","UKFS_004",39.041845,-95.202905,302.8,"deciduousForest"
"D06_Prairie Peninsula","UKFS","UKFS_007",39.03643,-95.203831,276.9,"deciduousForest"
"D06_Prairie Peninsula","UKFS","UKFS_009",39.046542,-95.20217,325.5,"grasslandHerbaceous"
"D06_Prairie Peninsula","UKFS","UKFS_010",39.05138,-95.186415,317.3,"deciduousForest"
"D06_Prairie Peninsula","UKFS","UKFS_018",39.051986,-95.193615,328,"grasslandHerbaceous"
"D07_Appalachians","GRSM","GRSM_003",35.675915,-83.473052,937.7,"deciduousForest"
"D07_Appalachians","GRSM","GRSM_013",35.683389,-83.63646,578.6,"deciduousForest"
"D07_Appalachians","GRSM","GRSM_014",35.665321,-83.523578,532.7,"deciduousForest"
"D07_Appalachians","GRSM","GRSM_015",35.731652,-83.409923,438.3,"deciduousForest"
"D07_Appalachians","GRSM","GRSM_020",35.702253,-83.360191,637.5,"deciduousForest"
"D07_Appalachians","GRSM","GRSM_033",35.697485,-83.510683,497.1,"deciduousForest"
"D07_Appalachians","GRSM","GRSM_069",35.680058,-83.489165,716.3,"deciduousForest"
"D07_Appalachians","GRSM","GRSM_070",35.681515,-83.555659,509.1,"deciduousForest"
"D07_Appalachians","GRSM","GRSM_071",35.709126,-83.378324,533.8,"deciduousForest"
"D07_Appalachians","MLBS","MLBS_002",37.372601,-80.52293,1186.5,"deciduousForest"
"D07_Appalachians","MLBS","MLBS_003",37.369823,-80.526881,1204.9,"deciduousForest"
"D07_Appalachians","MLBS","MLBS_004",37.427968,-80.511905,903.3,"deciduousForest"
"D07_Appalachians","MLBS","MLBS_006",37.4282,-80.564248,785.7,"deciduousForest"
"D07_Appalachians","MLBS","MLBS_008",37.427518,-80.500559,929.5,"deciduousForest"
"D07_Appalachians","MLBS","MLBS_009",37.375726,-80.517928,1176.3,"deciduousForest"
"D07_Appalachians","ORNL","ORNL_001",35.931517,-84.271038,249.1,"deciduousForest"
"D07_Appalachians","ORNL","ORNL_002",35.980657,-84.212085,265.3,"deciduousForest"
"D07_Appalachians","ORNL","ORNL_003",35.965425,-84.229179,264.5,"deciduousForest"
"D07_Appalachians","ORNL","ORNL_007",35.924871,-84.331437,287,"deciduousForest"
"D07_Appalachians","ORNL","ORNL_027",35.915846,-84.264271,257.1,"evergreenForest"
"D07_Appalachians","ORNL","ORNL_039",35.934906,-84.246979,259.6,"pastureHay"
"D08_Ozarks","DELA","DELA_001",32.53179,-87.806963,25.8,"woodyWetlands"
"D08_Ozarks","DELA","DELA_002",32.532325,-87.817404,22.5,"woodyWetlands"
"D08_Ozarks","DELA","DELA_007",32.538446,-87.802968,24,"woodyWetlands"
"D08_Ozarks","DELA","DELA_026",32.533234,-87.811651,28.7,"evergreenForest"
"D08_Ozarks","LENO","LENO_002",31.807702,-88.192692,12.7,"woodyWetlands"
"D08_Ozarks","LENO","LENO_003",31.806969,-88.188209,14.3,"deciduousForest"
"D08_Ozarks","LENO","LENO_006",31.815234,-88.186236,13.8,"woodyWetlands"
"D08_Ozarks","LENO","LENO_008",31.814529,-88.191341,14,"deciduousForest"
"D08_Ozarks","LENO","LENO_015",31.816515,-88.192982,13.7,"woodyWetlands"
"D08_Ozarks","LENO","LENO_022",31.816574,-88.203144,12.9,"deciduousForest"
"D08_Ozarks","LENO","LENO_031",31.822791,-88.18867,17.5,"woodyWetlands"
"D08_Ozarks","TALL","TALL_005",32.896732,-87.398771,125.4,"mixedForest"
"D08_Ozarks","TALL","TALL_006",32.899343,-87.447301,111,"evergreenForest"
"D08_Ozarks","TALL","TALL_010",32.925717,-87.418569,150.1,"deciduousForest"
"D08_Ozarks","TALL","TALL_012",32.918043,-87.397403,144.3,"mixedForest"
"D08_Ozarks","TALL","TALL_013",32.884362,-87.452841,116.6,"evergreenForest"
"D08_Ozarks","TALL","TALL_015",32.916575,-87.436582,112.2,"deciduousForest"
"D08_Ozarks","TALL","TALL_024",32.923284,-87.420296,126,"deciduousForest"
"D08_Ozarks","TALL","TALL_031",32.899006,-87.387449,152.7,"evergreenForest"
"D09_Northern Plains","DCFS","DCFS_003",47.204875,-99.184072,586.1,"grasslandHerbaceous"
"D09_Northern Plains","DCFS","DCFS_004",47.170237,-99.05172,507.7,"grasslandHerbaceous"
"D09_Northern Plains","DCFS","DCFS_006",47.174408,-99.050112,496.5,"grasslandHerbaceous"
"D09_Northern Plains","DCFS","DCFS_009",47.210861,-99.183174,587.4,"grasslandHerbaceous"
"D09_Northern Plains","DCFS","DCFS_014",47.120533,-99.056896,569.2,"grasslandHerbaceous"
"D09_Northern Plains","DCFS","DCFS_020",47.169185,-99.054844,516,"grasslandHerbaceous"
"D09_Northern Plains","NOGP","NOGP_002",46.799664,-100.91077,547.4,"grasslandHerbaceous"
"D09_Northern Plains","NOGP","NOGP_005",46.788065,-100.913882,562.2,"grasslandHerbaceous"
"D09_Northern Plains","NOGP","NOGP_007",46.810415,-100.903576,519.6,"grasslandHerbaceous"
"D09_Northern Plains","NOGP","NOGP_009",46.800461,-100.914403,541,"grasslandHerbaceous"
"D09_Northern Plains","NOGP","NOGP_010",46.766411,-100.917537,588.6,"grasslandHerbaceous"
"D09_Northern Plains","NOGP","NOGP_014",46.806003,-100.902845,526.4,"grasslandHerbaceous"
"D09_Northern Plains","NOGP","NOGP_017",46.791856,-100.918686,556.8,"grasslandHerbaceous"
"D09_Northern Plains","WOOD","WOOD_001",47.12949,-99.25848,595.7,"grasslandHerbaceous"
"D09_Northern Plains","WOOD","WOOD_002",47.135132,-99.232151,570.8,"grasslandHerbaceous"
"D09_Northern Plains","WOOD","WOOD_003",47.12016,-99.239066,586.4,"grasslandHerbaceous"
"D09_Northern Plains","WOOD","WOOD_006",47.14358,-99.247798,591.7,"grasslandHerbaceous"
"D09_Northern Plains","WOOD","WOOD_007",47.136131,-99.249898,589.6,"grasslandHerbaceous"
"D09_Northern Plains","WOOD","WOOD_008",47.143048,-99.21261,574,"grasslandHerbaceous"
"D09_Northern Plains","WOOD","WOOD_009",47.145477,-99.234645,587.1,"grasslandHerbaceous"
"D09_Northern Plains","WOOD","WOOD_010",47.145555,-99.226499,584.8,"grasslandHerbaceous"
"D09_Northern Plains","WOOD","WOOD_011",47.128426,-99.264206,600.1,"grasslandHerbaceous"
"D09_Northern Plains","WOOD","WOOD_013",47.13897,-99.23014,581.7,"grasslandHerbaceous"
"D09_Northern Plains","WOOD","WOOD_015",47.15096,-99.23311,593.3,"grasslandHerbaceous"
"D10_Central Plains","CPER","CPER_002",40.810459,-104.730866,1649.7,"grasslandHerbaceous"
"D10_Central Plains","CPER","CPER_004",40.813091,-104.698536,1622.1,"grasslandHerbaceous"
"D10_Central Plains","CPER","CPER_005",40.854109,-104.726916,1664.7,"grasslandHerbaceous"
"D10_Central Plains","CPER","CPER_006",40.813581,-104.748751,1650.2,"grasslandHerbaceous"
